artist,album,song,date
Oh No,Dr. No's Oxperiment,Action,01 Jan 1970 0:00
J Dilla,Donuts,One Eleven,01 Jan 1970 0:00
Gorillaz,Plastic Beach,Sweepstakes Ft. Mos Def & Hypnotic Brass Ensemble,01 Jan 1970 0:00
Yeah Yeah Yeahs,It's Blitz!,Little Shadow,01 Jan 1970 0:00
Phantogram,Eyelid Movies,As Far As I Can See,01 Jan 1970 0:00
Blu,Open (theInstrumentalAlbum),FoundAtTheBottomOfTheRainbow,01 Jan 1970 0:00
J Dilla,Donuts,Donuts (Intro),01 Jan 1970 0:00
Big Sean,UKNOWBIGSEAN Vol. 2,Million Dollars,01 Jan 1970 0:00
Brother Ali,Us,House Keys,01 Jan 1970 0:00
El Perro del Mar,Love Is Not Pop,Change of Heart,01 Jan 1970 0:00
Wale,Attention Deficit,90210 (Produced By Mark Ronson Co-Produced By Deijon),01 Jan 1970 0:00
El Michels Affair,Enter The 37th Chamber,C.R.E.A.M.,01 Jan 1970 0:00
De La Soul,aRe yoU iN?,La La La,01 Jan 1970 0:00
Method Man,,Our Dreams,01 Jan 1970 0:00
Kid Cudi,a KiD named CuDi,Pillow Talk,01 Jan 1970 0:00
Jay-Z,A Prelude To Blueprint 3,Jockin' Jay-Z,01 Jan 1970 0:00
Slum Village,Fantastic Vol. 2,Fall In Love,01 Jan 1970 0:00
Danger Mouse and Sparklehorse,Dark Night of The Soul,Just Wars (feat. Gruff Rhys),01 Jan 1970 0:00
Oh No,Dr. No's Ethiopium,Wildchild,01 Jan 1970 0:00
Neutral Milk Hotel,In the Aeroplane Over the Sea,The King of Carrot Flowers (pt. 1),01 Jan 1970 0:00
Oh No,Dr. No's Oxperiment,Ox Broil,01 Jan 1970 0:00
Gorillaz,Plastic Beach,Empire Ants,01 Jan 1970 0:00
Kid Cudi,a KiD named CuDi,Man on the Moon (The Anthem),01 Jan 1970 0:00
The Books,The Lemon of Pink,Lemon of Pink (Kaileigh's Short and Sweet Edit),01 Jan 1970 0:00
Oh No,Dr. No's Oxperiment,Come Back,01 Jan 1970 0:00
Josiah Wolf,Jet Lag,The Trailer And The Truck,01 Jan 1970 0:00
Girls,Album,Hellhole Ratrace,01 Jan 1970 0:00
The Walkmen,You & Me,In The New Year,01 Jan 1970 0:00
M. Ward,Hold Time,For Beginners,01 Jan 1970 0:00
The Nextdoor Neighbors,Magic Vs the Machine,Anti-Lullaby,01 Jan 1970 0:00
Amadou & Mariam,Sou Ni Tile,Je Pense A Toi,01 Jan 1970 0:00
Daedelus,Righteous Fists of Harmony,An Armada Approaches,01 Jan 1970 0:00
Addeboy vs Cliff,Beep My Beep,Beep My Beep (Feat David Sandstrom Erika Moeld)TPE1,01 Jan 1970 0:00
Gorillaz,Plastic Beach,Rhinestone Eyes,01 Jan 1970 0:00
The Cave Singers,Invitation Songs,Seeds Of Night,01 Jan 1970 0:00
Washed Out,Life of Leisure,Feel It All Around,01 Jan 1970 0:00
Hevehitta x The Clipse,,Funeral Time (DJ Unexpected Remix),01 Jan 1970 0:00
Dela,Atmosphere Airlines Vol.1,Cheer (Nomak Remix Bonus),01 Jan 1970 0:00
Cook Classics,,06 Def 82 ft. Buff1 Tiron and Ayomari (produced by Cook Classics),01 Jan 1970 0:00
Phantogram,Eyelid Movies,Mouthful of Diamonds,01 Jan 1970 0:00
Mos Def,,Sirens In The Distance (Ft. A-Alikes),01 Jan 1970 0:00
Wale,Attention Deficit,Prescription (Produced By Best Kept Secret),01 Jan 1970 0:00
Oh No,Dr. No's Ethiopium,Melody Mix,01 Jan 1970 0:00
Blu,Open (theInstrumentalAlbum),TalkingToMyselfTooOften,01 Jan 1970 0:00
Hyperdub,5: Five Years of Hyperdub,Aidys Girl's A Computer,01 Jan 1970 0:00
Xray,Top Ranking,Turbulence Duplate (Starstruck Diplo Mix),01 Jan 1970 0:00
Maxwell,black summer's night,Bad Habits,01 Jan 1970 0:00
Black Kids,,I'm Not Gonna Teach Your Boyfriend How to Dance With You,01 Jan 1970 0:00
St. Vincent,Marry Me,Marry Me,01 Jan 1970 0:00
MeLo-X,MeLo-X Music Blitz,Get It Up - feat. Nikki Ntu,01 Jan 1970 0:00
Hot Chip,One Life Stand,Take It In,01 Jan 1970 0:00
The Very Best,Warm Heart Of Africa,Yalira,01 Jan 1970 0:00
Camera Obscura,My Maudlin Career,James,01 Jan 1970 0:00
Oh No,Dr. No's Ethiopium,Concentrate,01 Jan 1970 0:00
Atlas Sound,Logos,The Light That Failed,01 Jan 1970 0:00
Jay Electronica,,Exhibit A (Transformations),01 Jan 1970 0:00
The Antlers,Hospice,Kettering,01 Jan 1970 0:00
Blu,Open (theInstrumentalAlbum),LikeEveryDayAintTheSame,01 Jan 1970 0:00
Fashawn,Boy Meets World,The Ecology,01 Jan 1970 0:00
Keith Hudson,Pick A Dub,Depth Charge,01 Jan 1970 0:00
Cymbals Eat Guitars,Why There are Mountains,And The Hazy Sea,01 Jan 1970 0:00
Blu,HerFavoriteColo(u)r,Amnesia,01 Jan 1970 0:00
The xx,xx,Shelter,01 Jan 1970 0:00
Titus Andronicus,The Monitor,No Future Pt. Three: Escape from No Future,01 Jan 1970 0:00
Atlas Sound,Logos,Shelia,01 Jan 1970 0:00
Bibio,Ambivalence Avenue,The Palm Of Your Wave,01 Jan 1970 0:00
Band of Horses,Everything All the Time,The Funeral,01 Jan 1970 0:00
Lil Boosie,Be South 20,4 my hood,01 Jan 1970 0:00
Maxwell,black summer's night,Stop The World,01 Jan 1970 0:00
Gorillaz,Plastic Beach,Some Kind of Nature Ft. Lou Reed,01 Jan 1970 0:00
Gorillaz,Plastic Beach,White Flag Ft. Kano Bashy & The Lebanese National Orchestra for Oriental Arabic Music,01 Jan 1970 0:00
Gorillaz,Plastic Beach,Welcome to the World of the Plastic Beach,01 Jan 1970 0:00
Kidkanevil,Basho Basho,When Doves Bounce,01 Jan 1970 0:00
Prefuse 73,Vocal Studies & Uprock Narratives,Nuno,01 Jan 1970 0:00
Wale,Back to the Feature,Hot Shyt f. Peedi Peedi Black Thought Tu Phace & Young Chris (prod Ritz),01 Jan 1970 0:00
Little Dragon,Machine Dreams,Never Never,01 Jan 1970 0:00
J Dilla,Jay Stay Paid,On Stilts,01 Jan 1970 0:00
Atlas Sound,Logos,I Know I Will Escape,01 Jan 1970 0:00
Jay-Z,The Blueprint 3,Empire State of Mind (feat. Alicia Keys),01 Jan 1970 0:00
Local Natives,Gorilla,Wide Eyes,01 Jan 1970 0:00
Amadou & Mariam,Welcome to Mali,Sabali,01 Jan 1970 0:00
Oh No,Dr. No's Oxperiment,Smokey Winds,01 Jan 1970 0:00
Mad Professor,Method to the Madness,12. Chukki Star - The Almighty One,01 Jan 1970 0:00
Gorillaz,Plastic Beach,Plastic Beach Ft. Mick Jones & Paul Simon,01 Jan 1970 0:00
Shinichi Osawa,The One,Maximum Joy,01 Jan 1970 0:00
Why?,Alopecia,Good Friday,01 Jan 1970 0:00
Calvin Harris,Ready for the Weekend,Flashback,01 Jan 1970 0:00
Theophilus London,Green Label Sound,Humdrum Town,01 Jan 1970 0:00
Major Lazer,Guns Don't Kill People...Lazers Do,Can't stop now feat. Mr. Vegas & Jovi Rockwell,01 Jan 1970 0:00
Novel,The Audiobiography...,Caffeine & Cigarettes,01 Jan 1970 0:00
Happy Birthday,Happy Birthday,Girls FM,01 Jan 1970 0:00
Paper Route Gangstaz,Rocket Fuel EP,Keyshia Cole (Explicit) - Mixed & Mastered,01 Jan 1970 0:00
Donnis,Snack Pack,Come Along (prod. by D. Focis),01 Jan 1970 0:00
Madlib,Medicine Show No. 3: Beat Konducta In Africa,Chant 2,01 Jan 1970 0:00
Me'Shell Ndegéocello,Devil's Halo,Love You Down,01 Jan 1970 0:00
Oh No,Dr. No's Oxperiment,Oxcity Sickness,01 Jan 1970 0:00
Gorillaz,Plastic Beach,Cloud of Unknowing Ft. Bobby Womack & sinfonia ViVA,01 Jan 1970 0:00
Gorillaz,Plastic Beach,Stylo ft. Bobby Womack & Mos Def,01 Jan 1970 0:00
Ellie Goulding,Starry Eyed,Starry Eyed,01 Jan 1970 0:00
Blu,Open (theInstrumentalAlbum),NoWorries(TheyGonnaLoveUBaby),01 Jan 1970 0:00
2Pac,,Bone Chaos In The Ghetto (2Pac vs Kaki King),01 Jan 1970 0:00
Oh No,Dr. No's Oxperiment,Hot Fire,01 Jan 1970 0:00
Diamond District,In the Ruff,Off the Late Night (prod. SlimKat78) [Explicit],01 Jan 1970 0:00
Madlib,Beat Konducta Vol. 5: Dil Cosby Suite,J's Day Theme #3 (Support),01 Jan 1970 0:00
Gucci Mane,Diplo Presents: Free Gucci (Best of The Cold War Mixtapes),I Be Everywhere - Mumdance Remix (Full Version),01 Jan 1970 0:00
Gorillaz,Plastic Beach,Pirate Jet,01 Jan 1970 0:00
jj,jj n° 2,Ecstasy,01 Jan 1970 0:00
Yeasayer,Odd Blood,Amblin,01 Jan 1970 0:00
Oh No,Dr. No's Ethiopium,Soul of Ethiopia,01 Jan 1970 0:00
Cam'ron,Crime Pays,Spend The Night (Produced By Araabmuzik),01 Jan 1970 0:00
Major Lazer,Guns Don't Kill People...Lazers Do,What U Like feat. Amanda Blank & Einstein,01 Jan 1970 0:00
Exile,Radio,It's Coming Down,01 Jan 1970 0:00
Strong Arm Steady,In Search Of Stoney Jackson,Chittlins & Pepsi feat. Planet Asia,01 Jan 1970 0:00
Real Estate,Real Estate,Suburban Dogs,01 Jan 1970 0:00
Blu,Open (theInstrumentalAlbum),GoodGrace(LetUsThankHimForThisFood),01 Jan 1970 0:00
The Dream,Love VS Money,Hit It On The Road,01 Jan 1970 0:00
Wu-Tang Clan,Chamber Music,Harbor Masters (featuring Ghostface Killah AZ & Inspectah Deck),01 Jan 1970 0:00
Oh No,Dr. No's Oxperiment,Cosmos,01 Jan 1970 0:00
Sene,A Day Late & A Dollar Short,EyeCry: TheBefore,01 Jan 1970 0:00
Passion Pit,Manners,Moth's Wings,01 Jan 1970 0:00
Danger Mouse and Sparklehorse,Dark Night of The Soul,Star Eyes (I Can't Catch It) (feat. James Mercer),01 Jan 1970 0:00
Wilco,Wilco (The Album),Solitaire,01 Jan 1970 0:00
No Age,Losing Feeling,You're a Target,01 Jan 1970 0:00
J. Cole,The Warm Up,World Is Empty,01 Jan 1970 0:00
Los Campesinos!,Sticking Fingers Into Sockets,You! Me! Dancing!,01 Jan 1970 0:00
Gorillaz,Plastic Beach,Orchestral Intro,01 Jan 1970 0:00
Method Man,Blackout! 2,City Lights (Featuring Bun B),01 Jan 1970 0:00
Diamond District,In the Ruff,Streets Won't Let Me Chill [Explicit],01 Jan 1970 0:00
Gorillaz,Plastic Beach,Broken,01 Jan 1970 0:00
J. Cole,The Warm Up,Grown Simba,01 Jan 1970 0:00
Girls,Album,Lust For Life,01 Jan 1970 0:00
Bibio,Ambivalence Avenue,Lovers Carvings,01 Jan 1970 0:00
Curren$y,This Aint No Mixtape,Elevator Musik,01 Jan 1970 0:00
J Dilla,Donuts,Walkinonit,01 Jan 1970 0:00
Metric,Fantasies,Collect Call,01 Jan 1970 0:00
Bear in Heaven,Beast Rest Forth Mouth,You Do You,01 Jan 1970 0:00
Oh No,Dr. No's Ethiopium,Juke Joint,01 Jan 1970 0:00
Fleet Foxes,Sun Giant,Innocent Son,01 Jan 1970 0:00
Blu,Open (theInstrumentalAlbum),theLongWindedReverendBarnes,01 Jan 1970 0:00
The Knife,Silent Shout,Still Light,01 Jan 1970 0:00
Gorillaz,Plastic Beach,Superfast Jellyfish,01 Jan 1970 0:00
Toro y Moi,Causers of This,Blessa,01 Jan 1970 0:00
Allen Toussaint,The Bright Mississippi,West End Blues,01 Jan 1970 0:00
Big Boi,Sir Luscious Left Foot,Royal Flush (feat. Andre 3000 & Raekwon),01 Jan 1970 0:00
Flying Lotus,Los Angeles,Auntie's Lock/Infinitum (feat. Laura Darlington),01 Jan 1970 0:00
Prefuse 73,One Word Extinguisher,Busy Signal (Make You Go Bombing Mix),01 Jan 1970 0:00
Madlib,Beat Konducta Vol. 5: Dil Cosby Suite,In Jah Hands (Dilla's Lament),01 Jan 1970 0:00
Tokyo Police Club,A Lesson In Crime,Be Good,01 Jan 1970 0:00
Oh No,Dr. No's Oxperiment,Ghetto,01 Jan 1970 0:00
Joker,Digidesign / You Don't Know What Love Is,Digidesign,01 Jan 1970 0:00
New Boyz,You're A Jerk,Cricketz (Feat. Tyga),01 Jan 1970 0:00
Maxwell,black summer's night,Phoenix Rise,01 Jan 1970 0:00
Let's Wrestle,In The Court Of The Wrestling Let's,I'm In Fighting Mode,01 Jan 1970 0:00
Gorillaz,Plastic Beach,To Binge,01 Jan 1970 0:00
Madlib,Beat Konducta Vol. 5: Dil Cosby Suite,Anthenagin' (?),01 Jan 1970 0:00
Julian Marley,Awake,Violence In The Streets Ft. Damian Jr. Gong Marley,01 Jan 1970 0:00
Illum Sphere,Freeeee Shit,Agent White,01 Jan 1970 0:00
Bonobo,Black Sands,The Keeper featuring Andreya Triana,01 Jan 1970 0:00
Los Campesinos!,We Are Beautiful We Are Doomed,Heart Swells/Pacific Daylight Time,01 Jan 1970 0:00
The National,Boxer,Brainy,01 Jan 1970 0:00
Guilty Simpson,Forge Your Own Chains 45,My Time To Shine,01 Jan 1970 0:00
Crystal Castles,Crystal Castles,Celestica,01 Jan 1970 0:00
Blu,Open (theInstrumentalAlbum),theRunAwaySlaveSong,01 Jan 1970 0:00
Mick Boogie + Peter Bjorn & John,Re-Living Thing,Stay This Way (f/ Big Pooh Phil Nash and Chaundon),01 Jan 1970 0:00
MF DOOM,Special Herbs 7 & 8,Chrysanthemum Flowers,01 Jan 1970 0:00
DMX,,The XX Gon' Give It To Ya (DMX vs The XX),01 Jan 1970 0:00
Los Campesinos!,We Are Beautiful We Are Doomed,We Are Beautiful We Are Doomed,01 Jan 1970 0:00
Radiohead,,These Are My Twisted Words,01 Jan 1970 0:00
Lil' Wayne,The Carter Iii Mixtape,Something You Forgot,01 Jan 1970 0:00
Maxwell,black summer's night,Help Somebody,01 Jan 1970 0:00
Kid Sister,Ultraviolet,Right Hand Hi,01 Jan 1970 0:00
T.I.,A Year And A Day,Hell Of A Life,01 Jan 1970 0:00
Intuition,Girls Like Me,Buzzkill (feat. Slug),01 Jan 1970 0:00
Passion Pit,Manners,Sleepyhead,01 Jan 1970 0:00
Grand Agent,,Minivan (feat. Camp Lo),01 Jan 1970 0:00
Cam'ron,,Cuffin' (Feat. Gucci Mane),01 Jan 1970 0:00
Bat for Lashes,Two Suns,Daniel,01 Jan 1970 0:00
Gorillaz,Plastic Beach,Glitter Freeze Ft. Mark E. Smith,01 Jan 1970 0:00
Sister Nancy,Top Ranking,Pigeon Rock,01 Jan 1970 0:00
J. Cole,The Come Up,Mighty Crazy,01 Jan 1970 0:00
Trap N Trunks,Huntsville AL: The Rocket City,Grandaddy,01 Jan 1970 0:00
Atlas Sound,Logos,Logos,01 Jan 1970 0:00
Animal Collective,Merriweather Post Pavilion,My Girls,01 Jan 1970 0:00
The Dodos,Visiter,Fools,01 Jan 1970 0:00
Stars,Sad Robots EP,Undertow,01 Jan 1970 0:00
Maxwell,black summer's night,Pretty Wings,01 Jan 1970 0:00
Big Boi,Sir Luscious Left Foot,Shine Blockas [ft. Gucci Mane],01 Jan 1970 0:00
M83,Dead Cities Red Seas and Lost,Run Into Flowers,01 Jan 1970 0:00
Madlib,Beat Konducta Vol. 5: Dil Cosby Suite,Sacrifice (Beat-A-Holic Thoughts),01 Jan 1970 0:00
Aphex Twin,Richard D. James Album,Girl/Boy Song,01 Jan 1970 0:00
Feist,The Reminder,Intuition,01 Jan 1970 0:00
Sizzla,Da Real Thing,Solid As A Rock,01 Jan 1970 0:00
J. Cole,,Playground [Prod. By Elite],01 Jan 1970 0:00
Prefuse 73,One Word Extinguisher,Perverted Undertone,01 Jan 1970 0:00
J Dilla,The Shining Instrumentals,Body Movin' (Instrumental),01 Jan 1970 0:00
Oh No,Dr. No's Oxperiment,Down Under,01 Jan 1970 0:00
Prefuse 73,One Word Extinguisher,Storm Returns,01 Jan 1970 0:00
Cam'ron,Crime Pays,My Job (Produced By Skitzo),01 Jan 1970 0:00
Exile,Radio,Stay Tuned (Here),01 Jan 1970 0:00
Horse Feathers,House With No Home,Curs in the Weeds,01 Jan 1970 0:00
J Dilla,The Shining Instrumentals,Over The Breaks (Instrumental),01 Jan 1970 0:00
Grip Grand,Brokelore,Tomorrow,01 Jan 1970 0:00
Tyga,Black Thoughts,The Nausea,01 Jan 1970 0:00
Los Campesinos!,We Are Beautiful We Are Doomed,Miserabilia,01 Jan 1970 0:00
Florence + the Machine,,You've Got the Love (XX remix),01 Jan 1970 0:00
T.I.,A Year And A Day,Make You Sweat,01 Jan 1970 0:00
14KT,The Golden Hour,The Night,01 Jan 1970 0:00
Minus the Bear,Menos El Oso,Pachuca Sunrise,01 Jan 1970 0:00
MF DOOM,Special Herbs 7 & 8,Licorice,01 Jan 1970 0:00
Bat for Lashes,Two Suns,Good Love,01 Jan 1970 0:00
Coconut Records,Nighttiming,West Coast,01 Jan 1970 0:00
Pearl Jam,Backspacer,Just Breathe,01 Jan 1970 0:00
Iron & Wine,The Sea & the Rhythm,The Sea and the Rhythm,01 Jan 1970 0:00
Lil' Wayne,The Drought Is Over: Collector's Edition,Wasted,01 Jan 1970 0:00
The xx,xx,Crystalised,01 Jan 1970 0:00
Nneka,Concrete Jungle,The Uncomfortable Truth,01 Jan 1970 0:00
X.O.,28 Days Later,The Hit,01 Jan 1970 0:00
Desmond Dekker & The Aces,Intensified,Poor Me Israelites,01 Jan 1970 0:00
Consequence,Whatever You Want,Whatever You Want (Feat. Kanye West And John Legend),01 Jan 1970 0:00
14KT,The Golden Hour,Ivory Pillars,01 Jan 1970 0:00
Cam'ron,Crime Pays,Cookies-N-Apple Juice Ft. Skitzo And Byrd Lady (Produced By Skitzo),01 Jan 1970 0:00
MF DOOM,Special Herbs 3 & 4,Elder Blossoms,01 Jan 1970 0:00
brittany bosco,Spectrum (EP),Blues For Blue,01 Jan 1970 0:00
Usher,,Daddy's Home,01 Jan 1970 0:00
Mikey Dread,Evolutionary Rockers,The King in the Ring,01 Jan 1970 0:00
DJ /rupture,Uproot,Capilano Bridge: Jenny Jones,01 Jan 1970 0:00
Cut Chemist,The Audience's Listening,The Garden,01 Jan 1970 0:00
Oh No,Dr. No's Oxperiment,Ohhhhhh,01 Jan 1970 0:00
Decompoze,Decomposition,Mica (Phone Check),01 Jan 1970 0:00
Wilco,A Ghost is Born,At Least That's What You Said,01 Jan 1970 0:00
J Dilla,Donuts,The New,01 Jan 1970 0:00
Madlib,Beat Konducta Vol. 6: Dil Withers Suite,First Class (The Best Catalogue),01 Jan 1970 0:00
Cobe Obeah,,Song of the Starz,01 Jan 1970 0:00
Radiohead,In Rainbows,Weird Fishes/Arpeggi,01 Jan 1970 0:00
Gauntlet Hair,,I Was Thinking...,01 Jan 1970 0:00
J Dilla,Donuts,Mash,01 Jan 1970 0:00
No Age,Nouns,Teen Creeps,01 Jan 1970 0:00
Jay Electronica,Scratches & Demo Tape Vol. 1,Swagger Jackson's Revenge,01 Jan 1970 0:00
Shawn Chrystopher,A City With No Seasons,Heartbreaker (feat. Chris Focus),01 Jan 1970 0:00
Kid Cudi,Call Me Moon Man,Call Me Moon Man,01 Jan 1970 0:00
Sene,A Day Late & A Dollar Short,EveryDejaVu,01 Jan 1970 0:00
Prefuse 73,Vocal Studies & Uprock Narratives,Point to B,01 Jan 1970 0:00
Major Lazer,Guns Don't Kill People...Lazers Do,Baby feat. Prince Zimboo,01 Jan 1970 0:00
Alchemist,Chemical Warfare,I Know Your Name (Feat. Travis McCoy And Lil' Wayne),01 Jan 1970 0:00
Oh No,Dr. No's Oxperiment,Deliveries,01 Jan 1970 0:00
Major Lazer,Guns Don't Kill People...Lazers Do,Cash Flow feat. Jah Dan,01 Jan 1970 0:00
Kate Nash,Made of Bricks,Birds,01 Jan 1970 0:00
Pac Div,Church League Champions,Whiplash,01 Jan 1970 0:00
M83,Saturdays = Youth,We Own the Sky,01 Jan 1970 0:00
Crystal Antlers,Tentacles,Dust,01 Jan 1970 0:00
SUNNI ALI BER,Food For Thought,Bread & Roses,01 Jan 1970 0:00
J Dilla,The Shining Instrumentals,Won't Do (Instrumental),01 Jan 1970 0:00
Kidkanevil,Basho Basho,Yokai,01 Jan 1970 0:00
Metaform,Standing on the Shoulders of Giants,Barbie Doll,01 Jan 1970 0:00
The Decemberists,The Crane Wife,The Crane Wife 3,01 Jan 1970 0:00
Cam'ron,Crime Pays,Silky (No Homo) (Produced By Skitzo),01 Jan 1970 0:00
MF DOOM,Special Herbs 1 & 2,Eucalyptus,01 Jan 1970 0:00
Cut Chemist,The Audience's Listening,Spoon,01 Jan 1970 0:00
Little Vic,Each Dawn I Die,Love Hurts,01 Jan 1970 0:00
Sene,A Day Late & A Dollar Short,OwlThruGotham,01 Jan 1970 0:00
Future Islands,Wave Like Home,Little Dreamer,01 Jan 1970 0:00
King Tubby,Essential Dub,A Better Version,01 Jan 1970 0:00
Bill Callahan,Loving Takes This Course,The Breeze/My Baby Cries,01 Jan 1970 0:00
Jon Brion,Eternal Sunshine of the Spotless Mind,Theme,01 Jan 1970 0:00
Wilco,A Ghost is Born,Muzzle of Bees,01 Jan 1970 0:00
Diamond District,In the Ruff,Let Me Explain [Explicit],01 Jan 1970 0:00
One Be Lo,S.O.N.O.G.R.A.M.,E.T.,01 Jan 1970 0:00
Sizzla,Black Woman & Child,Babylon A Use Dem Brain,01 Jan 1970 0:00
J Dilla,Donuts,Waves,01 Jan 1970 0:00
Mickey Factz,The Leak Vol. 2: The Inspiration,Rockin N Rollin (Prod By. Precize),01 Jan 1970 0:00
Interpol,Turn on the Bright Lights,NYC,01 Jan 1970 0:00
Vampire Weekend,Contra,White Sky,01 Jan 1970 0:00
Surfer Blood,Astrocoast,Floating Vibes,01 Jan 1970 0:00
Buju Banton,Inna Heights,Circumstances,01 Jan 1970 0:00
DJ Honda,Travellin' Man (feat. Mos Def) [Remasterd] - EP,Travellin' Man,01 Jan 1970 0:00
Miike Snow,Miike Snow,Burial,01 Jan 1970 0:00
Prefuse 73,One Word Extinguisher,Styles That Fade Away With a Collonade Reprise,01 Jan 1970 0:00
Exile,Radio,In Love,01 Jan 1970 0:00
X.O.,28 Days Later,Gettin' Money [Prod. By Gee Futuristic],01 Jan 1970 0:00
Andrew Bird,Soldier On,Oh Sister,01 Jan 1970 0:00
Matt Kanelos & The Smooth Maria,Silent Show,Rain,01 Jan 1970 0:00
Kid Cudi,Dat Kid From Cleveland,Look Up In Da Stars (Feat. Wale) (Prod. by Breez),01 Jan 1970 0:00
Darondo,Dorando,Didn't I,01 Jan 1970 0:00
LCD Soundsystem,This Is Happening,All I Want,01 Jan 1970 0:00
Kid Cudi,Dat Kid From Cleveland,Switchin Lanes,01 Jan 1970 0:00
Strong Arm Steady,In Search Of Stoney Jackson,Telegram,01 Jan 1970 0:00
Yabby You,Dub It To The Top,Rock With Me Dub,01 Jan 1970 0:00
14KT,Nowalataz LP,The Name Game,01 Jan 1970 0:00
King Tubby,Essential Dub,A Rougher Version,01 Jan 1970 0:00
King Tubby,Rastafari dub (1974-1979),Rastafari Dub,01 Jan 1970 0:00
Nobody,And Everything Else,Wake Up And Smell The Millennium,01 Jan 1970 0:00
Destroyer,Trouble In Dreams,Libby's First Sunrise,01 Jan 1970 0:00
J Dilla,Donuts,Gobstopper,01 Jan 1970 0:00
14KT,Nowalataz LP,Verbal Intercourse '06,01 Jan 1970 0:00
Lee Scratch Perry,The Upsetters - Return of the Super Ape,High Rankin Sammy,01 Jan 1970 0:00
Ra Ra Riot,The Rhumb Line,Can You Tell,01 Jan 1970 0:00
Prince Far I,Dubwise,Throw Away Your Gun (Dub),01 Jan 1970 0:00
Bonobo,Black Sands,Black Sands,01 Jan 1970 0:00
Shawty Lo,Be South 20,So in Love,01 Jan 1970 0:00
Lil' Wayne,The Carter Iii Mixtape,I Feel Like Dying,01 Jan 1970 0:00
Raekwon,,Empire State Of Mind 2 Remix feat. Raekwon CNN Styles. P (Prod by Dj Green Lantern),01 Jan 1970 0:00
Bibio,Ambivalence Avenue,Haikuesque (When She Laughs),01 Jan 1970 0:00
M83,Dead Cities Red Seas and Lost,0078h,01 Jan 1970 0:00
Jay Electronica,Act 1: The Eternal Sunshine (T,FYI,01 Jan 1970 0:00
Wale,Back to the Feature,New Soul f. Yael Naim (prod BKS),01 Jan 1970 0:00
MF DOOM,Special Herbs 5 & 6,Pennyroyal,01 Jan 1970 0:00
Me'Shell Ndegéocello,Devil's Halo,Die Young,01 Jan 1970 0:00
Flying Lotus,Weezy,Flying Lotus - I Feel Like Dying,01 Jan 1970 0:00
Lupe Fiasco,Enemy of the State: A Love Story,Angels,01 Jan 1970 0:00
Animal Collective,Strawberry Jam,Fireworks,01 Jan 1970 0:00
Jay Electronica,,Get 'Em (Produced by Mr. Porte,01 Jan 1970 0:00
J Dilla,Donuts,People,01 Jan 1970 0:00
Blu & Mainframe,e.q.e.p,Disco D.Y.N.A.M.I.T.E.,01 Jan 1970 0:00
Madlib,Beat Konducta Vol. 3 & 4: In India,Movie Finale,01 Jan 1970 0:00
Quasimoto,The Further Adventures of Lord Quas,Shroom Music,01 Jan 1970 0:00
Grizzly Bear,Veckatimest,About Face,01 Jan 1970 0:00
Atlas Sound,Virtual 7 No. 8,The Screens,01 Jan 1970 0:00
Diplo,Decent Work For Decent Pay,200,01 Jan 1970 0:00
The Niceguys,THE SHOW,Life In Style v2,01 Jan 1970 0:00
João Orecchia,Hands and Feet,Midnight Serenade,01 Jan 1970 0:00
Oh No,Dr. No's Oxperiment,Exp Out the Ox,01 Jan 1970 0:00
The KickDrums,Just A Game,When I Come Down,01 Jan 1970 0:00
Mad Professor,Method to the Madness,1. Aquizim & Mad Professor - Kunta Kinte Dub,01 Jan 1970 0:00
Small Black,Small Black,Despicable Dogs,01 Jan 1970 0:00
Guilty Simpson,Coroners Music 12,Coroner's Music,01 Jan 1970 0:00
J Dilla,Donuts,Airworks,01 Jan 1970 0:00
Keith Hudson,Pick A Dub,I'm All Right,01 Jan 1970 0:00
J Dilla,Donuts,Stop,01 Jan 1970 0:00
Local Natives,Gorilla,Shape Shifter,01 Jan 1970 0:00
Fly Gypsy,Change for a Dollar,You (feat. Tattiana Aqeel-de Oliveira),01 Jan 1970 0:00
Ab-Soul,Longterm 2,Take Em There f. Alori Joh,01 Jan 1970 0:00
Maxwell,black summer's night,Fistful Of Tears,01 Jan 1970 0:00
Wale,Back to the Feature,Tito Santana f. Joe Budden (prod 9th Wonder),01 Jan 1970 0:00
Bun B,II Trill,Swang On 'Em (featuring Lupe Fiasco),01 Jan 1970 0:00
Bonobo,Black Sands,Kiara,01 Jan 1970 0:00
Pictureplane,Dark Rift,Goth Star,01 Jan 1970 0:00
Grandaddy,The Sophtware Slump,Jed the Humanoid,01 Jan 1970 0:00
Beenie Man,Maestro,One Big Road,01 Jan 1970 0:00
Diamond District,In the Ruff,I Mean Business [Explicit],01 Jan 1970 0:00
Nicki Minaj,Playtime Is Over,Handstand f. Shanell,01 Jan 1970 0:00
Exile,Radio,The Sound Is God,01 Jan 1970 0:00
The Decemberists,5 Songs,I Don't Mind,01 Jan 1970 0:00
Bob Dylan,Bob Dylan,Man of Constant Sorrow,01 Jan 1970 0:00
King Tubby,,Version 78 Style,01 Jan 1970 0:00
14KT,Nowalataz LP,T&A,01 Jan 1970 0:00
Yabby You,King Tubby's Prophesy Of Dub,Conquering Dub,01 Jan 1970 0:00
Yabby You,Conquering Lion,Conquering Lion,01 Jan 1970 0:00
